Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get_method,2500,665,129,2435,229.02,0.000%,52.36041,8.23,7.72,161.0
User_info_2,2500,665,129,2551,208.83,0.000%,52.33520,19.52,12.62,382.0
User_info_3,2500,671,163,2551,220.16,0.000%,52.28485,13.38,12.66,262.0
Object_info_1,2500,672,141,2300,198.68,0.000%,52.32534,10.68,8.33,209.0
Object_info_2,2500,666,132,2436,188.44,0.000%,52.38894,20.21,8.49,395.0
Object_info_3,2500,663,127,3553,199.70,0.000%,52.59725,16.95,8.42,330.0
Object_info_4,2500,667,125,2551,215.16,0.000%,52.83737,10.37,8.51,201.0
TOTAL,17500,667,125,3553,208.99,0.000%,359.84537,97.39,65.46,277.1
