Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get_method,4996,1458,136,8630,437.12,0.000%,47.79032,7.51,7.05,161.0
User_info_2,4996,1477,129,5479,384.94,0.000%,47.71820,17.80,11.51,382.0
User_info_3,4996,1480,151,8611,390.95,0.000%,47.68086,12.20,11.55,262.0
Object_info_1,4996,1476,151,5954,330.99,0.000%,47.68086,9.73,7.59,209.0
Object_info_2,4995,1464,132,5833,311.12,0.000%,47.74422,18.42,7.74,395.0
Object_info_3,4995,1457,132,5856,326.58,0.000%,47.85675,15.42,7.66,330.0
Object_info_4,4995,1450,127,5828,325.87,0.000%,47.97534,9.42,7.73,201.0
TOTAL,34969,1466,127,8630,360.98,0.000%,331.07686,89.60,60.23,277.1
